"Carimbo de data/hora","Você já utilizou algum frete?","Com que frequência?","Qual o mais frequente?","Qual a forma utilizada para contatar o motorista?","Qual critério na escolha do motorista?","Sua opinião em relação ao preço cobrado","Metodo de pagamento mais utilizado","Você conhece algum sistema que ajude no uso desse serviço?","Se sim, qual?","Gostaria de usar a tecnologia para auxiliar na sua procura?","Porque não conseguiu?","Porque nunca utilizou?","Porque não gosta ou confia no serviço?"
"2017/09/21 4:51:21 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:51:39 PM GMT-3","Sim","Ocasionalmente","Caminhão Grande Porte","Pesquisei na internet;Contato com Cooperativa(motoboy)","Preço;Distância do local onde eu estava","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:51:41 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:51:44 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:51:58 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Pesquisei na internet","Distância do local onde eu estava","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:52:09 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;Fui pessoalmente ao local onde o motorista fica","Preço;Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:52:09 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança;Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:52:10 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:52:16 PM GMT-3","Sim","Raramente","Carro","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Barato","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:52:17 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Preço","Justo","Dinheiro","Sim","Celular, acompanhamento de carga","Sim","","",""
"2017/09/21 4:52:18 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:52:43 PM GMT-3","Não","","","","","","","","","","","ainda vou utilizar",""
"2017/09/21 4:53:06 PM GMT-3","Sim","Raramente","Carro","Viu o número em uma placa","Segurança;Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:53:22 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:53:51 PM GMT-3","Sim","Raramente","Motoboy","Pegou o número com alguém","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:54:03 PM GMT-3","Sim","Raramente","Carro","O motorista é um conhecido","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:55:30 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pegou o número com alguém;O motorista é um conhecido","Segurança","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:55:48 PM GMT-3","Sim","Ocasionalmente","ônibus","estico o braço","Não houve critério, peguei o primeiro que consegui","Justo","Dinheiro","Sim","Moovit","Sim","","",""
"2017/09/21 4:55:58 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Distância do local onde eu estava","não é justo, mas não é caro!","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:56:04 PM GMT-3","Sim","Raramente","Caminhão Pequeno Porte","Viu o número em uma placa;Pegou o número com alguém;O motorista é um conhecido","Preço","Justo","Dinheiro","Não","","Talvez","","",""
"2017/09/21 4:56:24 PM GMT-3","Sim","Ocasionalmente","Motoboy","Contato com Cooperativa(motoboy)","Segurança","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:57:48 PM GMT-3","Sim","Raramente","Motoboy","Fui pessoalmente ao local onde o motorista fica","Preço","Justo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:57:59 PM GMT-3","Sim","Ocasionalmente","Motoboy","Pesquisei na internet","Segurança","Abusivo","Dinheiro","Não","","Sim","","",""
"2017/09/21 4:58:07 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:58:16 PM GMT-3","Não","","","","","","","","","","","Nunca precisei do serviço",""
"2017/09/21 4:58:44 PM GMT-3","Sim","Frequentemente","Caminhão Grande Porte","Pegou o número com alguém;O motorista é um conhecido;Pesquisei na internet","Preço","Abusivo","boleto 35d","Sim","Protheus","Sim","","",""
"2017/09/21 4:59:13 PM GMT-3","Sim","Raramente","Motoboy","O motorista é um conhecido","Segurança;Preço;Agilidade","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
"2017/09/21 4:59:35 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança","Justo","Cartão Crédito/Débito","Não","","Não","","",""
"2017/09/21 5:00:20 PM GMT-3","Sim","Ocasionalmente","Caminhão Pequeno Porte","Pesquisei na internet","Segurança;Preço","Justo","Cartão Crédito/Débito","Não","","Sim","","",""
